ID,Bio_Origin,Plant_Origin,Orphan_Drug,Homeopathic,Early_Termination,Manual_URL,Shelf_Life,Shelf_Life_Value,Shelf_Life_Unit
F3B0F754577E0FFBC2258814002B1E73,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/0B6D21845E6C0F4C422589B000304D2A/$file/UA141880101_045E.mht,3 роки,3.0,рік
2224ABF866E32FE3C2258AD8002C9952,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/ABC5EFBA074A1C0A4225875F0036FA3A/$file/UA102550101_FD80.mht,2 роки,2.0,рік
205703669C88FC9DC225878300455655,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/0B86A1B779A9A52A42258A9E0053D1C8/$file/UA35910301_95A1.mht,3 роки,3.0,рік
FCCA7B3F35542C4CC225878300456DDB,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/54BBD31DFE88CFEE42258ABB003F0A16/$file/UA35910101_343D.mht,3 роки,3.0,рік
F6C9B2A83D7C11EEC2258AC90044C671,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/1E69B4F5D7B12156C2258ABE007037DC/$file/UA35910201_20F5.mht,2 роки,2.0,рік
A5E67EF35A259C75C22588FA0028CA82,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/5EC541E01F382148C2258ADF004C131F/$file/UA35910102_9561.mht,3 роки,3.0,рік
22B441DBA9EF5097C2258BD300298DC0,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/C804761303A0566CC2258B1E003A3C3B/$file/UA55100101_FF57.mht,2 роки,2.0,рік
D98A1668514F4EDAC2258B20003B7084,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/F0619521384DE788C2258B1600528568/$file/UA33740101_3A5B.mht,2 роки,2.0,рік
D6F67DA7B8AF81AAC2258B81003361B2,False,True,False,False,False,,2 роки,2.0,рік
4338A7B60D863696C2258B630046BC78,False,False,False,True,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/5687EDCCC2214D62422588FD00460E52/$file/UA162010101_800D.mht,У закритій упаковці — 3 роки. Після відкриття — 6 місяців.,3.0,рік
D93E3C45EFBF053AC2258B20003B9146,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/8FC3CB2C68E13104C2258B1E0038F356/$file/UA127940101_E739.mht,2 роки,2.0,рік
8E514699ABC28277C2258B20003BBCDE,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/AEDEE64ED879ED4942258B26003B902D/$file/UA19200201_64C7.mht,3 роки,3.0,рік
B459B29D53F5F104C2258AD8004FA984,False,False,False,False,False,,"2,5 року",,рік
5665363A0D5CECD4C2258A71002E73AD,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/58297F17AE168B8142258B2C00526DF3/$file/UA70610101_1E12.mht,"2,5 року",,рік
18304B8FEE075091C2258A840032EFD2,False,True,False,False,False,,5 років,5.0,рік
963825AB2B8A18EFC2258B230048A7EC,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/8D73BB89FB1E5D9BC2258ACF004C4ACF/$file/UA46150101_E0DF.mht,5 років.,5.0,рік
43883433554B675DC2258B81002DCFE8,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/24FBC2508F3B2E5042258A7B003FF5C5/$file/UA119110102_7E52.mht,2 роки,2.0,рік
E5B8D399BD911DE3C2258B1700309448,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/D5FD51374FBEAE01C2258AE70057F08C/$file/UA119110102_13C8.mht,2 роки,2.0,рік
1C1C7FEA983D4AB9C2258B4300244B9A,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/62B7ADB3F50BF66B42258A60002B0B39/$file/UA129820102_9206.mht,5 років,5.0,рік
874ED5ADBCDE7257C2258BD3004DCC11,False,True,False,False,True,http://www.drlz.com.ua/ibp/lz_www.nsf/id/6191B51F84205955422589AA0039BB40/$file/UA169950102_971E.mht,3 роки,3.0,рік
C311B71C9223E99CC2258B55003A33F2,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/B5738B16C21D85A542258B9500607669/$file/UA169950102_EC8B.mht,3 роки,3.0,рік
9856CE007A594230C2258BAF003B4C9A,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/69E05E86AC95B00442258B9500607661/$file/UA169950101_0DDE.mht,3 роки,3.0,рік
17AC16A7501C63F6C2258AD8002D5963,False,True,False,False,True,http://www.drlz.com.ua/ibp/lz_www.nsf/id/CFA795B13554FD89422589AA0039BB2D/$file/UA169950101_6147.mht,3 роки,3.0,рік
54FFC0AFC344D5FAC2258BC60044A6E6,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/29EF7D9B674B0B6F42258BB00053A7EB/$file/UA85900101_CA38.mht,5 років,5.0,рік
6888E9B81A74E1B3C2258A31002B7F1F,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/FD97B27D939E720742258B95006017A9/$file/UA205820101_C873.mht,5 років,5.0,рік
589F899C940214F4C2258AFC004059FC,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/92E6D383FD3E665142258BAF003656DC/$file/UA07470101_19D3.mht,5 років,5.0,рік
258088311B0468D6C2258AF9002C8C11,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/1956CFBAC7DB4EBC42258BAF00365386/$file/UA07470201_E69E.mht,5 років,5.0,рік
2693963C4C799BAAC2258AC90044F8B6,False,False,False,False,False,,термін переконтролю 4 роки,4.0,рік
975579E18944A188C2258A71002EA268,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/7FCACD52E651C6DE42258BD90040A6D4/$file/UA155590102_6705.mht,2 роки,2.0,рік
E3514A3DF4410CEDC2258AC900452254,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/BECA20AE7ADB8E7542258BD90040A6CF/$file/UA155590101_1F7A.mht,2 роки,2.0,рік
4DA938B58D517D20C2258A71002EBDC4,False,False,False,False,False,,5 років,5.0,рік
22C7F2E271B510E2C2258A84003452DC,True,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/CF0D1AACA6783D17C2258ACF004983F2/$file/UA162830101_11A1.pdf,2 роки,2.0,рік
3296E2DBD2B91652C2258A8400343560,True,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/2CDD84A5AE6143CDC2258B1600512F6D/$file/UA181280101_C228.mht,2 роки,2.0,рік
1C59CF218331236FC2258AD8004B34DD,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/72E46EB6E1816D1342258BD90040B42C/$file/UA04360101_4234.mht,2 роки,2.0,рік
